Area,Grade,Location,Description,Favorable,Detrimental,LandImprovedPct,TrendNextDecade,Occupation,EstFamIncome,ForeignBornFam,ForeignPredom,NegroYN,NegroPct,Infiltration,ReliefFamilies,PopChange,FirstPredomBldgPct,FirstBldgType,FirstConstruction,FirstAvgAge,FirstRepair,FirstOccupancy,FirstHomeOwnership,FirstConstructedPastYear,First1929PriceRange,First1935PriceRange,First1937PriceRange,FirstSalesDemand,FirstActivity,First1929RentRange,First1935RentRange,First1937RentRange,FirstRentalDemand,FirstRentalActivity,SecondPredomBldgPct,SecondBldgType,SecondConstruction,SecondAvgAge,SecondRepair,SecondOccupancy,SecondHomeOwnership,SecondConstructedPastYear,Second1929PriceRange,Second1935PriceRange,Second1937PriceRange,SecondSalesDemand,SecondActivity,Second1929RentRange,Second1935RentRange,Second1937RentRange,SecondRentalDemand,SecondRentalActivity,ThirdPredomBldgPct,ThirdBldgType,ThirdConstruction,ThirdAvgAge,ThirdRepair,ThirdOccupancy,ThirdHomeOwnership,ThirdConstructedPastYear,Third1929PriceRange,Third1935PriceRange,Third1937PriceRange,ThirdSalesDemand,ThirdActivity,Third1929RentRange,Third1935RentRange,Third1937RentRange,ThirdRentalDemand,ThirdRentalActivity,MortAvailforPurchase,MortAvailforBuilding,Remarks
A1,A,West_Hartford,Wooded hillside land rising steeply to the west giving beautiful view of the city.,Attractiveness of outlook and development,"Distance from center of city, schools, churches and stores as well as lack of all city improvements. These, however, are not detrimental to present class of owners.",?,Upward,Executives,15000,0,,No,0,None,None,Increasing_slightly,100,VeryLargeSingles,Brick_Stone_Frame,10,Excellent,100,100,5,"25,000 to 500,000",no sales,no sales,,LandOnly,NeverRentalArea,NeverRentalArea,NeverRentalArea,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,"In recent years, some wealthy Hartford citizens began buying up large acreages and buildings thereon palatial mansions -- one even has a golf course on the front lawn. Only occasionally is ther found a dwelling that is not extremely large. On High Farms Road there has been a small, speculative development of the highest order but here the grounds are not extensive and houses are built fairly close together. Because of stability of owners, mortgagees look with favor on this section although it is recognized that there is neither sales nor rental market for this type of property. A wide arterial highway separates this area from its less desirable neighbor."
A2,A,West_Hartford,Rolling and sightly land.,Attractiveness of development and location.,Distance from business section of Hartford.,60,Stable,Minor_Executives_and_Businessmen,5000,0,,No,0,None,None,Increasing_rapidly,100,7_8rmSingle,Brick_Stucco_Frame,8,Excellent,100,97,125,"12,000 to 30,000","9,000 to 20,000","10,000 to 22,000","10,000 to 15,000",Good,AllOwned,75 to 115,80 to 125,80 to 100,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,"A section opened up a few years ago by a number of speculative developers and one which is growing more rapidly than any other. It is the most desirable residential area for those seeking modest sized dwellings. Architecture is varied but exceptionally pleasing and though most plots are small, they are well kept. Home ownership is high, the only rentals being a comparatively few, newly built homes which remain unsold. Although this area is a favorite with lenders, caution is exercised as some of the new construction is know to be ""jerry"" built. To the east, a stream separates this section from its less desirable neighbor."
A3,A,West_Hartford,Generally flat land.,Attractiveness and convenience of location.,None,70,Upward,Minor_Executives_and_Professionals,7500,0,,No,0,None,None,Increasing_rapidly,100,8_9rmSingle,Brick_Frame,10,Excellent,100,100,60,"18,000 to 45,000","11,000 to 25,000","13,000 to 27,500","13,000 to 18,000",Good,NotARentalArea,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,"A more recent development, largely of a speculative nature, to provide most desirable homes in the upper-middle brackets. Design is varied but altogether pleasing. Plots are not large but well laid out and well maintained. Pride of ownerships is everywhere evident. Lenders look with particular favor on this area."
A4,A,West_Hartford,"High, rolling and wooded land with pleasant outlook.",Attractiveness of location and development as well as accessibility.,,75,Upward,Executives_and_Professionals,10000,0,,No,0,None,None,Increasing_rapidly,100,LargeSingles,Brick_Frame_Stone,10,Excellent,100,100,50,"25,000 to 100,000","15,000 to 50,000","18,000 to 60,000","18,000 to 30,000",Good,NeverARentalArea,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,A continuation of Hartford's most desirable residential section containing only homes in the highest brackets. It was begun by wealthy individuals for their own occupancy but speculative developers have recently opened up many streets in the upper western portion with houses of the same high character. Dwellings are very large and of varied but attractive architecture. Grounds are extensive and beautifully landscaped and maintained. Lenders recognize stability of owners but are aware of the impossibility of either selling or renting properties on a satisfactory basis.
A5,A,West_Hartford,Rolling and wooded land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,"This is a sparsely settled area still largely composed of farms. In recent years, there has been a tendency to purchase older homes and completely renovate and modernize them. This has lead to the establishment of a number of large estates and, where land was cheap, to the construction of small modern homes. The variation is so great as to preclude any attempt at classification."
A6,A,Hartford,Wooded land rising from the river.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,"A sparsely improved section, the present use of which is still largely devoted to farms. There has been a recent tendency toward the purchase of large tracts which have been turned into estates and the erection thereupon of sizeable mansions. Some of the new construction, however, has been of more modest nature. Extreme variation prevents proper classification."
A7,A,Hartford,Generally wooded land rising quite sharply from the river and with pleasing outlook.,Accessibility as well as attractiveness of location and its improvements.,None,75,Stable,Executives_and_Professionals,10000,0,,No,0,None,None,Increasing_slightly,100,LargeSingles,Brick_Stone_Frame,15,Excellent,100,100,5,"25,000 to 100,000","15,000 to 50,000","18,000 to 60,000","18,000 to 30,000",Good,NeverARentalArea,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,"Hartford's most desirable residential section. An area containing large, palatial homes of many of the wealthiest citizens. Grounds are spacious, most attractively landscaped and maintained in excellent condition. Although lenders appreciate stability of owners, they acknowledge the impossibility of either selling or renting such properties on a satisfactory basis."
A8,A,East_Hartford,"High, rolling ground.",Attractiveness of outlook and location.,"Lack of all improvements and distance from schools, churches, stores, etc.",10,Upward,Minor_Executives_and_Businessmen,4000,0,,No,0,None,None,Increasing_slowly,100,8_9rmSingle,Frame_Brick_Stone,5,Excellent,100,100,4,NoneBuilt,"7,000 to 12,000","7,000 to 12,000","7,000 to 12,000",Good,NotARentalArea,,,AllOwned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ample,Ample,"A small, new and, as yet, sparsely developed section containing not over 8 or 10 well built and attractively designed homes. Lots are of fair size, well landscaped and evidence a marked pride of ownership. This is the most desirable area for those who must reside in East Hartford."
B1,B,West_Hartford,Land is slightly rolling and wooded in portions.,Convenient to small centrally located shopping center.,Distance from business section of Hartford,90,Stable,White_Collar,2500,0,,No,0,None,None,Increasing_rapidly,90,6_7rmSingle,Frame_Stucco,10,Excellent,100,90,60,"10,000 to 20,000","8,500 to 14,000","9,000 to 16,000","9,000 to 12,000",Good,AllOwned,55 to75,60 to 80,60 to 75,Good,10,2Family,Frame,10,Good,99,95,2,"14,000 to 18,000","10,000 to 12,000","10,000 to 12,000","10,000 to 12,000",Poor,55 to 75,50 to 60,52 to 65,52 to 60,Good,,,,,,,,,,,,,,,,,,,Ample,Ample,"A newer and, for the most part, speculative development which still continues at a fairly rapid pace. Dwellings are of modest sized located upon small plots which are well cared for. Some of the new construction is of exceptionally attractive design. A favorite section among lenders it is, nevertheless, reported that some of the new development is overpriced and some ""jerry"" built. As a whole, the area rates a high ""Blue."""
B2,B,West_Hartford,Slightly rolling land.,"Attractive location and convenient to several small, local shopping centers.",None,90,Stable,White_Collar,2500,0,,No,0,None,None,Increasing_slowly,50,6_15rmSingle,Frame_Stucco,15,Good,100,95,25,"10,000 to 30,000","7,500 to 20,000","8,000 to 22,000","8,000 to 12,000",Fair,AllOwned,50 to 125,55 to 125,60 to 80,Good,50,2Family,Frame,15,Good,99,90,0,"16,000 to 20,000","10,000 to 12,000","10,000 to 12,000","10,000 to 11,000",Poor,60 to 80,50 to 60,52 to 65,52 to 60,Good,,,,,,,,,,,,,,,,,,,Ample,Ample,A slightly older section which has slowed up somewhat in its development but still retains its desirability. Architecture is substantially similar and not as attractive as in the newer areas. Plots are fairly small giving the air of some congestion. Pride of ownership is generally evident. Lenders look upon this as a sound mortgage section.
